建筑id,名称,所属区域id,基础产出,生产成本,前置科技,前置市政,前置建筑id,替换建筑id,是否宗教建筑,备注,数据来源,待核
BUILDING_FLOOD_BARRIER,拦洪坝,DISTRICT_CITY_CENTER,无,80,TECH_COMPUTERS,无,无,无,否,无,一手,否
BUILDING_FOOD_MARKET,食品市场,DISTRICT_NEIGHBORHOOD,粮食:4,380,TECH_REPLACEABLE_PARTS,无,无,无,否,无,一手,否
BUILDING_FOSSIL_FUEL_POWER_PLANT,燃油发电厂,DISTRICT_INDUSTRIAL_ZONE,生产力:3,360,TECH_ELECTRICITY,无,BUILDING_FACTORY,无,否,无,一手,否
BUILDING_GOV_CITYSTATES,外交部,DISTRICT_GOVERNMENT,无,290,无,无,BUILDING_GOV_CONQUEST|BUILDING_GOV_TALL|BUILDING_GOV_WIDE,无,否,无,一手,否
BUILDING_GOV_CONQUEST,军阀宝座,DISTRICT_GOVERNMENT,无,150,无,无,无,无,否,无,一手,否
BUILDING_GOV_CULTURE,国家历史博物馆,DISTRICT_GOVERNMENT,无,440,无,无,BUILDING_GOV_CITYSTATES|BUILDING_GOV_FAITH|BUILDING_GOV_SPIES|BUILDING_QUEENS_BIBLIOTHEQUE,无,否,无,一手,否
BUILDING_GOV_FAITH,骑士团长礼拜堂,DISTRICT_GOVERNMENT,信仰:5,290,无,无,BUILDING_GOV_CONQUEST|BUILDING_GOV_TALL|BUILDING_GOV_WIDE,无,否,无,一手,否
BUILDING_GOV_MILITARY,作战部,DISTRICT_GOVERNMENT,无,440,无,无,BUILDING_GOV_CITYSTATES|BUILDING_GOV_FAITH|BUILDING_GOV_SPIES|BUILDING_QUEENS_BIBLIOTHEQUE,无,否,无,一手,否
BUILDING_GOV_SCIENCE,皇家学会,DISTRICT_GOVERNMENT,无,440,无,无,BUILDING_GOV_CITYSTATES|BUILDING_GOV_FAITH|BUILDING_GOV_SPIES|BUILDING_QUEENS_BIBLIOTHEQUE,无,否,无,一手,否
BUILDING_GOV_SPIES,情报局,DISTRICT_GOVERNMENT,无,290,无,无,BUILDING_GOV_CONQUEST|BUILDING_GOV_TALL|BUILDING_GOV_WIDE,无,否,无,一手,否
BUILDING_GOV_TALL,谒见厅,DISTRICT_GOVERNMENT,无,150,无,无,无,无,否,无,一手,否
BUILDING_GOV_WIDE,祠堂,DISTRICT_GOVERNMENT,无,150,无,无,无,无,否,无,一手,否
BUILDING_GRANARY,粮仓,DISTRICT_CITY_CENTER,粮食:1,65,TECH_POTTERY,无,无,无,否,无,一手,否
BUILDING_GRAND_BAZAAR,大巴扎,DISTRICT_COMMERCIAL_HUB,金币:5,220,TECH_BANKING,无,BUILDING_MARKET,BUILDING_BANK,否,无,一手,否
BUILDING_GROVE,古树林,DISTRICT_PRESERVE,无,150,无,CIVIC_MYSTICISM,无,无,否,无,一手,否
BUILDING_GURDWARA,谒师所,DISTRICT_HOLY_SITE,信仰:3|粮食:2,190,无,无,BUILDING_TEMPLE,无,是,无,一手,否
BUILDING_HANGAR,机库,DISTRICT_AERODROME,生产力:2,380,TECH_FLIGHT,无,无,无,否,无,一手,否
BUILDING_HYDROELECTRIC_DAM,水电站坝,DISTRICT_DAM,无,440,TECH_ELECTRICITY,无,无,无,否,无,一手,否
BUILDING_LARGE_ROCKET,大型火箭,DISTRICT_SPACEPORT,无,1,无,无,无,无,否,无,一手,否
BUILDING_LIBRARY,图书馆,DISTRICT_CAMPUS,科技:2,90,TECH_WRITING,无,无,无,否,无,一手,否
BUILDING_LIGHTHOUSE,灯塔,DISTRICT_HARBOR,无,120,TECH_CELESTIAL_NAVIGATION,无,无,无,否,无,一手,否
BUILDING_MADRASA,伊斯兰学校,DISTRICT_CAMPUS,科技:5,250,无,CIVIC_THEOLOGY,BUILDING_LIBRARY,BUILDING_UNIVERSITY,否,无,一手,否
BUILDING_MARAE,毛利会堂,DISTRICT_THEATER,无,150,无,CIVIC_DRAMA_POETRY,无,BUILDING_AMPHITHEATER,否,无,一手,否
BUILDING_MARKET,市场,DISTRICT_COMMERCIAL_HUB,金币:2,120,TECH_CURRENCY,无,无,无,否,无,一手,否
BUILDING_MEDIUM_ROCKET,中型火箭,DISTRICT_SPACEPORT,无,1,无,无,无,无,否,无,一手,否
BUILDING_MEETING_HOUSE,礼拜堂,DISTRICT_HOLY_SITE,信仰:3|生产力:2,190,无,无,BUILDING_TEMPLE,无,是,无,一手,否
BUILDING_MILITARY_ACADEMY,军事学院,DISTRICT_ENCAMPMENT,生产力:4,330,TECH_MILITARY_SCIENCE,无,BUILDING_ARMORY,无,否,无,一手,否
BUILDING_MONUMENT,纪念碑,DISTRICT_CITY_CENTER,文化:1,60,无,无,无,无,否,无,一手,否
BUILDING_MOSQUE,清真寺,DISTRICT_HOLY_SITE,信仰:3,190,无,无,BUILDING_TEMPLE,无,是,无,一手,否
BUILDING_MUSEUM_ART,艺术博物馆,DISTRICT_THEATER,文化:2,290,无,CIVIC_HUMANISM,BUILDING_AMPHITHEATER,无,否,无,一手,否
BUILDING_MUSEUM_ARTIFACT,考古博物馆,DISTRICT_THEATER,文化:2,290,无,CIVIC_HUMANISM,BUILDING_AMPHITHEATER,无,否,无,一手,否
BUILDING_NAVIGATION_SCHOOL,航海学校,DISTRICT_CAMPUS,科技:4,250,TECH_EDUCATION,无,BUILDING_LIBRARY,BUILDING_UNIVERSITY,否,无,一手,否
BUILDING_ORDU,斡耳朵,DISTRICT_ENCAMPMENT,生产力:1,120,TECH_HORSEBACK_RIDING,无,无,BUILDING_STABLE,否,无,一手,否
BUILDING_PAGODA,宝塔,DISTRICT_HOLY_SITE,信仰:3,190,无,无,BUILDING_TEMPLE,无,是,无,一手,否
BUILDING_PALACE,宫殿,DISTRICT_CITY_CENTER,文化:1|生产力:2|科技:2|金币:5,1,无,无,无,无,否,无,一手,否
BUILDING_PALGUM,沟渠,DISTRICT_CITY_CENTER,生产力:2,80,TECH_IRRIGATION,无,无,BUILDING_WATER_MILL,否,无,一手,否
BUILDING_POWER_PLANT,核电站,DISTRICT_INDUSTRIAL_ZONE,生产力:4|科技:3,480,TECH_NUCLEAR_FISSION,无,BUILDING_FACTORY,无,否,无,一手,否
BUILDING_PRASAT,高棉庙堂,DISTRICT_HOLY_SITE,信仰:6,120,无,CIVIC_THEOLOGY,BUILDING_SHRINE,BUILDING_TEMPLE,否,无,一手,否
BUILDING_QUEENS_BIBLIOTHEQUE,女王图书馆,DISTRICT_GOVERNMENT,无,217,无,无,BUILDING_GOV_CONQUEST|BUILDING_GOV_TALL|BUILDING_GOV_WIDE,无,否,无,一手,否
BUILDING_RESEARCH_LAB,研究实验室,DISTRICT_CAMPUS,科技:3,440,TECH_CHEMISTRY,无,BUILDING_UNIVERSITY,无,否,无,一手,否
BUILDING_SANCTUARY,避难所,DISTRICT_PRESERVE,无,440,无,CIVIC_CONSERVATION,无,无,否,无,一手,否
BUILDING_SEAPORT,码头,DISTRICT_HARBOR,粮食:2|金币:2,440,TECH_ELECTRICITY,无,BUILDING_SHIPYARD,无,否,无,一手,否
BUILDING_SEWER,下水道,DISTRICT_CITY_CENTER,无,200,TECH_SANITATION,无,无,无,否,无,一手,否
BUILDING_SHIPYARD,造船厂,DISTRICT_HARBOR,粮食:1,290,TECH_MASS_PRODUCTION,无,BUILDING_LIGHTHOUSE,无,否,无,一手,否
BUILDING_SHOPPING_MALL,购物商场,DISTRICT_NEIGHBORHOOD,金币:2,440,无,CIVIC_CAPITALISM,无,无,否,无,一手,否
BUILDING_SHRINE,神社,DISTRICT_HOLY_SITE,信仰:2,70,TECH_ASTROLOGY,无,无,无,否,无,一手,否
BUILDING_SMALL_ROCKET,小型火箭,DISTRICT_SPACEPORT,无,1,无,无,无,无,否,无,一手,否
BUILDING_STABLE,马厩,DISTRICT_ENCAMPMENT,生产力:1,120,TECH_HORSEBACK_RIDING,无,无,无,否,无,一手,否
BUILDING_STADIUM,体育场,DISTRICT_ENTERTAINMENT_COMPLEX,无,480,无,CIVIC_PROFESSIONAL_SPORTS,BUILDING_ZOO,无,否,无,一手,否
BUILDING_STAR_FORT,文艺复兴城墙,DISTRICT_CITY_CENTER,无,300,TECH_SIEGE_TACTICS,无,BUILDING_CASTLE,无,否,无,一手,否
BUILDING_STAVE_CHURCH,木板教堂,DISTRICT_HOLY_SITE,信仰:4,120,无,CIVIC_THEOLOGY,BUILDING_SHRINE,BUILDING_TEMPLE,否,无,一手,否
BUILDING_STOCK_EXCHANGE,证券交易所,DISTRICT_COMMERCIAL_HUB,金币:4,330,TECH_ECONOMICS,无,BUILDING_BANK,无,否,无,一手,否
BUILDING_STUPA,窣堵波,DISTRICT_HOLY_SITE,信仰:3,190,无,无,BUILDING_TEMPLE,无,是,无,一手,否
BUILDING_SUKIENNICE,纺织会馆,DISTRICT_COMMERCIAL_HUB,金币:2,120,TECH_CURRENCY,无,无,BUILDING_MARKET,否,无,一手,否
BUILDING_SYNAGOGUE,犹太教堂,DISTRICT_HOLY_SITE,信仰:5,190,无,无,BUILDING_TEMPLE,无,是,无,一手,否
BUILDING_TEMPLE,寺庙,DISTRICT_HOLY_SITE,信仰:4,120,无,CIVIC_THEOLOGY,BUILDING_SHRINE,无,否,无,一手,否
BUILDING_THERMAL_BATH,温泉浴场,DISTRICT_ENTERTAINMENT_COMPLEX,生产力:2,360,无,CIVIC_NATURAL_HISTORY,BUILDING_ARENA,BUILDING_ZOO,否,无,一手,否
BUILDING_TLACHTLI,蹴球场,DISTRICT_ENTERTAINMENT_COMPLEX,信仰:2|文化:2,135,无,CIVIC_GAMES_RECREATION,无,BUILDING_ARENA,否,无,一手,否
BUILDING_TSIKHE,堡垒,DISTRICT_CITY_CENTER,信仰:4,260,TECH_SIEGE_TACTICS,无,BUILDING_CASTLE,BUILDING_STAR_FORT,否,无,一手,否
BUILDING_UNIVERSITY,大学,DISTRICT_CAMPUS,科技:4,250,TECH_EDUCATION,无,BUILDING_LIBRARY,无,否,无,一手,否
BUILDING_WALLS,远古城墙,DISTRICT_CITY_CENTER,无,80,TECH_MASONRY,无,无,无,否,无,一手,否
BUILDING_WAT,佛寺,DISTRICT_HOLY_SITE,信仰:3|科技:2,190,无,无,BUILDING_TEMPLE,无,是,无,一手,否
BUILDING_WATER_MILL,水磨,DISTRICT_CITY_CENTER,生产力:1|粮食:1,80,TECH_THE_WHEEL,无,无,无,否,无,一手,否
BUILDING_WORKSHOP,工作坊,DISTRICT_INDUSTRIAL_ZONE,生产力:3,195,TECH_APPRENTICESHIP,无,无,无,否,无,一手,否
BUILDING_ZOO,动物园,DISTRICT_ENTERTAINMENT_COMPLEX,无,360,无,CIVIC_NATURAL_HISTORY,BUILDING_ARENA,无,否,无,一手,否
