领袖id,名称,所属文明id,领袖能力,是否首期纳入,备注,数据来源,待核
LEADER_MINOR_CIV_AKKAD,阿卡德,CIVILIZATION_AKKAD,阿卡德宗主国加成：近战与抗骑兵单位的攻击可对城墙造成全额伤害。,否,无,一手,否
LEADER_MINOR_CIV_ANTANANARIVO,塔那那利佛,CIVILIZATION_ANTANANARIVO,塔那那利佛宗主国加成：您的文明每获得1位伟人， 文化值便+2%（上限为+30%）。,否,无,一手,否
LEADER_MINOR_CIV_ANTIOCH,威尼斯,CIVILIZATION_ANTIOCH,威尼斯宗主国加成：您通往海外城市的 贸易路线可从目的地的每个奢侈品资源+1 金币。,否,无,一手,否
LEADER_MINOR_CIV_ARMAGH,阿尔马,CIVILIZATION_ARMAGH,阿尔马宗主国加成：建造者现在能够建造修道院改良设施。 修道院提供+2 信仰值。此单元格上的友方宗教单位生命值恢复+15（前提是其当前回合未发动攻击）。每2个相邻的区域使其+1 信仰值。提供+1 住房。解锁“殖民主义”市政后获得额外1点 住房。无法建在另一座修道院旁。,否,无,一手,否
LEADER_MINOR_CIV_AUCKLAND,奥克兰,CIVILIZATION_AUCKLAND,奥克兰宗主国加成：玩家拥有的浅水域单元格提供1点 生产力。到达工业时代后生产力额外+1。,否,无,一手,否
LEADER_MINOR_CIV_AYUTTHAYA,阿瑜陀耶,CIVILIZATION_AYUTTHAYA,阿瑜陀耶宗主国加成：建筑建成时，获得等同于建筑花费10%的 文化值。,否,无,一手,否
LEADER_MINOR_CIV_BABYLON,安善,CIVILIZATION_BABYLON,安善宗主国加成：每本 著作巨作+2 科技值。每件 遗物和 文物+1 科技值。,否,无,一手,否
LEADER_MINOR_CIV_BOLOGNA,博洛尼亚,CIVILIZATION_BOLOGNA,博洛尼亚宗主国加成：拥有建筑的区域使相应类型的 伟人点数+1（拥有建筑的剧院广场区域提供 大作家、 大艺术家和 大音乐家点数）。,否,无,一手,否
LEADER_MINOR_CIV_BRUSSELS,布鲁塞尔,CIVILIZATION_BRUSSELS,布鲁塞尔宗主国加成：您的城市在建造奇观时 生产力+15%。,否,无,一手,否
LEADER_MINOR_CIV_BUENOS_AIRES,布宜诺斯艾利斯,CIVILIZATION_BUENOS_AIRES,布宜诺斯艾利斯宗主国加成：您的加成资源如同奢侈品资源一样，每种类型资源提供1点 宜居度。,否,无,一手,否
LEADER_MINOR_CIV_CAGUANA,卡瓜纳,CIVILIZATION_CAGUANA,卡瓜纳宗主国加成：您的建造者现在可以建造改良设施巴特依。 +1 文化值。每与1座加成资源和娱乐设施相邻，则+1 文化值（拥有“探索”市政后+2 [Icon_Culture] 文化值）。研究完“飞行”后将产出 [Icon_Tourism] 旅游业绩。无法建造在另一座巴特依旁。,否,无,一手,否
LEADER_MINOR_CIV_CAHOKIA,卡霍基亚,CIVILIZATION_CAHOKIA,卡霍基亚宗主国加成：建造者可以建造卡霍基亚土墩改良设施。 +3 金币。城市建造首座卡霍基亚土墩改良设施可提供+1点 宜居度。发现“自然历史”后，城市建造的第二座卡霍基亚土墩改良设施可提供+1点 宜居度。解锁“封建主义”后，每2个相邻区域+1 食物；或研究“零件规格化”后，每个相邻区域+1 食物。提供+1 住房；发现“文化遗产”后，可额外获得1点 住房。无法建造在另一个卡霍基亚土墩旁。,否,无,一手,否
LEADER_MINOR_CIV_CARDIFF,加的夫,CIVILIZATION_CARDIFF,加的夫宗主国加成：每个港口内建筑向城市提供2点 电力。,否,无,一手,否
LEADER_MINOR_CIV_CHINGUETTI,欣盖提,CIVILIZATION_CHINGUETTI,欣盖提宗主国加成：此城中每有1位您所创建（或主流）宗教的信徒，国际与国内 贸易路线提供的 信仰值便+1。,否,无,一手,否
LEADER_MINOR_CIV_FEZ,非斯,CIVILIZATION_FEZ,非斯宗主国加成：利用宗教单位使城市首次改变信仰时，该城市每拥有1点 人口，则提供20点 科技值（标准速度下）。,否,无,一手,否
LEADER_MINOR_CIV_GENEVA,日内瓦,CIVILIZATION_GENEVA,日内瓦宗主国加成：当您不与任何文明发生战争时，您的城市+15% 科技值。,否,无,一手,否
LEADER_MINOR_CIV_GRANADA,格拉纳达,CIVILIZATION_GRANADA,格拉纳达宗主国加成：建造者现在能够建造阿卡萨城堡改良设施。 阿卡萨城堡提供+2 文化值。提供等于单元格魅力50%的 科技值。占领单位 防御力+4，并自动获得2回合防御工事。研究“飞行”科技后可提供 旅游业绩。无法建在另一座阿卡萨城堡旁。,否,无,一手,否
LEADER_MINOR_CIV_HATTUSA,哈图沙,CIVILIZATION_HATTUSA,哈图沙宗主国加成：每回合提供2份文明已解锁、但尚未改良的战略资源。,否,无,一手,否
LEADER_MINOR_CIV_HONG_KONG,香港,CIVILIZATION_HONG_KONG,香港宗主国加成：您的城市在进行项目时 生产力+20%。,否,无,一手,否
LEADER_MINOR_CIV_HUNZA,罕萨,CIVILIZATION_HUNZA,罕萨宗主国加成：您的 贸易路线每经过5个单元格，其提供的 金币便+1。,否,无,一手,否
LEADER_MINOR_CIV_JAKARTA,斯里巴加湾,CIVILIZATION_JAKARTA,斯里巴加湾宗主国加成：您海外城市中的 贸易站将使您途经或进入城市的 贸易路线+1 金币。,否,无,一手,否
LEADER_MINOR_CIV_JERUSALEM,耶路撒冷,CIVILIZATION_JERUSALEM,耶路撒冷宗主国加成：您拥有圣地的城市将释放压力，效果与圣城相同。（对10个单元格范围内的所有城市施加4倍宗教压力。）,否,无,一手,否
LEADER_MINOR_CIV_JOHANNESBURG,约翰内斯堡,CIVILIZATION_JOHANNESBURG,约翰内斯堡宗主国加成：每拥有1种类型的改良资源，城市便+1 生产力。研究“工业化”之后提升为+2 生产力。,否,无,一手,否
LEADER_MINOR_CIV_KABUL,喀布尔,CIVILIZATION_KABUL,喀布尔宗主国加成：您的单位由他们发起的战斗中获得双倍经验值。,否,无,一手,否
LEADER_MINOR_CIV_KANDY,康提,CIVILIZATION_KANDY,康提宗主国加成：每次您发现新的自然奇观，都会获得1个 遗物，并从所有 遗物中获得的 信仰值+50%。,否,无,一手,否
LEADER_MINOR_CIV_KUMASI,库马西,CIVILIZATION_KUMASI,库马西宗主国加成：您通往任何城邦的 贸易路线都为起源城市的每个独立区域+2 文化值和+1 金币。,否,无,一手,否
LEADER_MINOR_CIV_LAHORE,拉合尔,CIVILIZATION_LAHORE,拉合尔宗主国加成：您的城市现在可以生产尼杭战士。 这种单位拥有独特的升级树，可以通过 信仰值购买。首次建造出兵营、兵工厂和军事学院时，其 战斗力将得到提升。,否,无,一手,否
LEADER_MINOR_CIV_LA_VENTA,拉文塔,CIVILIZATION_LA_VENTA,拉文塔宗主国加成：建造者现在能够建造巨神头像改良设施。 +2 信仰值。与每2个雨林相邻+1信仰值，而解锁“人文主义”市政后与每1个雨林相邻便能+1信仰值。与每2个树林相邻+1信仰值，而解锁“人文主义”市政后与每1个树林相邻便能+1信仰值。研究“飞行”科技后可通过 信仰值获得 旅游业绩。无法建在雪地或雪地丘陵上。,否,无,一手,否
LEADER_MINOR_CIV_LISBON,摩加迪沙,CIVILIZATION_LISBON,摩加迪沙宗主国加成：您的商人单位对水域单元格的掠夺免疫。,否,无,一手,否
LEADER_MINOR_CIV_MEXICO_CITY,墨西哥城,CIVILIZATION_MEXICO_CITY,墨西哥城宗主国加成：来自工业区、水上乐园和娱乐设施的区域效果范围增加3个单元格。,否,无,一手,否
LEADER_MINOR_CIV_MOHENJO_DARO,摩亨朱-达罗,CIVILIZATION_MOHENJO_DARO,摩亨朱-达罗宗主国加成：若靠近河流，您的城市会从河流获得最高的 住房加成。,否,无,一手,否
LEADER_MINOR_CIV_MUSCAT,马斯喀特,CIVILIZATION_MUSCAT,马斯喀特宗主国加成：拥有商业中心区域的城市 宜居度+1。,否,无,一手,否
LEADER_MINOR_CIV_NALANDA,那烂陀,CIVILIZATION_NALANDA,那烂陀宗主国加成：您的建造者现在可以建造大寺改良设施。 +2 科技值、+1 [Icon_Housing] 住房。每与1座圣地区域相邻，则+1 信仰值；每与1座学院区域相邻，则+1 科技值。研究完“科学理论”之后，每与1座学院相邻则额外+1 [Icon_Science] 科技值。玩家首次建成大寺时将随机获得一项科技。必须建在平坦地貌上，不能与其他大寺相邻。,否,无,一手,否
LEADER_MINOR_CIV_NAN_MADOL,南马都尔,CIVILIZATION_NAN_MADOL,南马都尔宗主国加成：与海岸或湖泊单元格相邻的区域+2 文化值。,否,无,一手,否
LEADER_MINOR_CIV_NAZCA,纳斯卡,CIVILIZATION_NAZCA,纳斯卡宗主国加成：建造者可以建造纳斯卡巨画改良设施。 纳斯卡巨画向相邻单元格提供+1 信仰值；拥有资源的相邻单元格+1 信仰值。发现“行政部门”后，相邻的沙漠、沙漠丘陵单元格+1 食物。研究“大量生产”后，相邻的平原单元格+1 生产力；同时+1魅力。仅能建在沙漠平原中。此单元格无法派遣人口工作。,否,无,一手,否
LEADER_MINOR_CIV_NGAZARGAMU,纳札加姆,CIVILIZATION_NGAZARGAMU,纳札加姆宗主国加成：城市中每拥有1个“军营”内建筑，购买陆地战斗或支援单位所需的 金币便减少20%。,否,无,一手,否
LEADER_MINOR_CIV_PALENQUE,米特拉,CIVILIZATION_PALENQUE,米特拉宗主国加成：拥有学院区域的城市增长率将提升15%。,否,无,一手,否
LEADER_MINOR_CIV_PRESLAV,普雷斯拉夫,CIVILIZATION_PRESLAV,普雷斯拉夫宗主国加成：城市中建成的每个军营区域建筑可使城市每回合的忠诚度+2。,否,无,一手,否
LEADER_MINOR_CIV_RAPA_NUI,拉帕努伊,CIVILIZATION_RAPA_NUI,拉帕努伊宗主国加成：建造者可以建造摩艾石像改良设施。 摩艾石像提供+1 文化值。每2个相邻的摩艾石像+1 文化值。在火山土单元格之上或与其相邻时，+2 文化值。与海岸或湖泊单元格相邻时，+1 文化值。随着市政与科技树的发展，可获得额外的 文化值与 旅游业绩。可建在平原、平原丘陵、草原、草原丘陵或火山土之上。无法建在相邻树林或雨林的单元格上。,否,无,一手,否
LEADER_MINOR_CIV_SAMARKAND,撒马尔罕,CIVILIZATION_SAMARKAND,撒马尔罕宗主国加成：您的建造者现在能够建造圆顶市集改良设施。 +2 金币。每与一个奢侈品资源相邻则+1 金币。起源城市每有一座圆顶市集，对外国际贸易 路线提供的 金币便+1。无法建在另一座圆顶市集旁。,否,无,一手,否
LEADER_MINOR_CIV_SINGAPORE,新加坡,CIVILIZATION_SINGAPORE,新加坡宗主国加成：您城市的 贸易路线每连接到1个外国文明，便+2 生产力。,否,无,一手,否
LEADER_MINOR_CIV_TARUGA,塔鲁加,CIVILIZATION_TARUGA,塔鲁加宗主国加成：所有城市每拥有一种不同的改良战略资源，便+5% 科技值。,否,无,一手,否
LEADER_MINOR_CIV_VALLETTA,瓦莱塔,CIVILIZATION_VALLETTA,瓦莱塔宗主国加成：信仰值可用来购买市中心建筑和军营区的建筑。购买远古、中世纪、文艺复兴城墙的费用被降低，但只能通过 信仰值购买。,否,无,一手,否
LEADER_MINOR_CIV_VATICAN_CITY,梵蒂冈城,CIVILIZATION_VATICAN_CITY,梵蒂冈城宗主国加成：当您激活一位 伟人时，其会将您所创立宗教（或您主流宗教）的400点宗教压力传播到10单元格内的城市。,否,无,一手,否
LEADER_MINOR_CIV_VILNIUS,维尔纽斯,CIVILIZATION_VILNIUS,维尔纽斯宗主国加成：达到最高同盟级别后，所有剧院广场区域将获得50%的相邻加成。,否,无,一手,否
LEADER_MINOR_CIV_WOLIN,沃林,CIVILIZATION_WOLIN,沃林宗主国加成：陆地单位击杀主要和小型文明的单位时，将获得 大将军点数，而海军单位完成击杀将获得 海军统帅点数，获得量等同于对方单位战斗力的25%（标准速度下）。,否,无,一手,否
LEADER_MINOR_CIV_YEREVAN,埃里温,CIVILIZATION_YEREVAN,埃里温宗主国加成：您的使徒单位可以选择任何可用的升级，而不是随机升级。,否,无,一手,否
LEADER_MINOR_CIV_ZANZIBAR,桑给巴尔,CIVILIZATION_ZANZIBAR,桑给巴尔宗主国加成：获得 肉桂和 丁香奢侈品资源。这些东西在游戏里不能通过其他方式获得，每种提供6 宜居度。,否,无,一手,否
LEADER_MONTEZUMA,蒙特祖玛,CIVILIZATION_AZTEC,送给国王的礼物：其领土中的奢侈品资源为额外2座城市提供1点 宜居度。阿兹特克国土内每种改良的奢侈品资源将为军事单位+1 战斗力。,否,无,一手,否
LEADER_MVEMBA,姆本巴·恩津加,CIVILIZATION_KONGO,宗教转换：无法建造圣地区、获得大预言家，或创建宗教。从已成为多数刚果城市信仰的宗教中获得信仰值。每次完成一个姆班赞或剧院广场区时获得一位（城市主流宗教的）使徒。,否,无,一手,否
LEADER_NADER_SHAH,纳迪尔沙阿,CIVILIZATION_PERSIA,波斯之剑：攻击生命值全满的单位时+5 战斗力。非纳迪尔沙阿建造的城市从国内 贸易路线获得+2 [Icon_Faith] 信仰值和 +3 [Icon_Gold] 金币。,否,无,一手,否
LEADER_NZINGA_MBANDE,恩津加·姆班德,CIVILIZATION_KONGO,恩东戈和马坦巴的女王：和你的 首都处于同一大陆的城市+10%产出（其中包括 首都）；如果出在不同大陆，则-15%产出。,否,无,一手,否
LEADER_PACHACUTI,帕查库特克,CIVILIZATION_INCA,印加路网：起始城市中的每座山脉单元格为国内 贸易路线提供+1 食物。解锁“对外贸易”市政后可获得印加路网改良设施。,否,无,一手,否
LEADER_PEDRO,佩德罗二世,CIVILIZATION_BRAZIL,宽宏大量：招募或赞助一位 伟人后，将返还所消耗 伟人点数的20%。,否,无,一手,否
LEADER_PERICLES,伯里克利,CIVILIZATION_GREECE,被荣耀包围：作为宗主国时，每个下辖的城邦使您的 文化值+5%。,否,无,一手,否
LEADER_PETER_GREAT,彼得,CIVILIZATION_RUSSIA,大使馆：如 贸易路线的目标文明与比俄罗斯更先进，则其将提供 科技值或 文化值（每领先3项科技或市政则+1）。,否,无,一手,否
LEADER_PHILIP_II,菲利普二世,CIVILIZATION_SPAIN,艾思科里亚：审判官可额外进行一次“清除异教”操作。审判官能完全铲除其他宗教的势力。与信仰其他宗教的单位进行战斗时，战斗和宗教单位+5 战斗力。,否,无,一手,否
LEADER_POUNDMAKER,庞德梅克,CIVILIZATION_CREE,有利条件：所有同盟类型均可形成共享视野。 输出的 贸易路线目的地城市中的每座营地或牧场可为庞德梅克提供+1 食物。 输入的国外 贸易路线目的地城市中的每座营地或牧场可为庞德梅克提供+1 金币。,否,无,一手,否
LEADER_QIN,秦始皇（天命者）,CIVILIZATION_CHINA,秦始皇：建造远古和古典奇观时，可消耗建造者次数来加速奇观原始建造进程的15%。建造者会获得1个额外次数。解锁“砌砖”科技的同时也解锁“运河”。,否,无,一手,否
LEADER_QIN_ALT,秦始皇（大一统）,CIVILIZATION_CHINA,三十六计：近战单位获得“蛮族归顺”操作。此操作能将蛮族单位转化为你的单位，但会移除近战单位。,否,无,一手,否
LEADER_RAMSES,拉美西斯二世,CIVILIZATION_EGYPT,阿布辛贝：建筑建成时，获得等同于建筑花费15%的 文化值；奇观建成时则获得30%。,否,无,一手,否
LEADER_ROBERT_THE_BRUCE,罗伯特一世,CIVILIZATION_SCOTLAND,班诺克本：解锁防御战术市政后即可宣布解放战争。宣布解放战争后的10回合内+100% 生产力、+2 移动力。,否,无,一手,否
LEADER_SALADIN,萨拉丁（维齐尔）,CIVILIZATION_ARABIA,正义的信仰：玩家可以使用平时 信仰值消耗的1/10 来购买他们宗教的祭祀建筑。这种祭祀建筑为阿拉伯城市的 科技值、 信仰值、 文化值增加10%产量。,否,无,一手,否
LEADER_SALADIN_ALT,萨拉丁（苏丹）,CIVILIZATION_ARABIA,王者之师：为所有战斗和宗教单位+100%夹击和支援加成。,否,无,一手,否
LEADER_SEJONG,世宗大王,CIVILIZATION_KOREA,谚文：解锁新时代的首项科技时，获得两倍于每回合 科技值收益的 文化值。,否,无,一手,否
LEADER_SEONDEOK,善德,CIVILIZATION_KOREA,花郎：总督在城市中就职后，每次升级（包括首次升级）都将提供+3% 文化值和 科技值。,否,无,一手,否
LEADER_SHAKA,恰卡,CIVILIZATION_ZULU,伊布托：可更早组建军团（需雇佣兵市政）和军队（需民族主义市政）。使军团和军队的 基础战斗力额外+5。,否,无,一手,否
LEADER_SIMON_BOLIVAR,西蒙·玻利瓦尔,CIVILIZATION_GRAN_COLOMBIA,荣耀之战：游戏进入新时代后获得1名总指挥。,否,无,一手,否
