文明id,名称,特色区域id,文明能力,是否首期纳入,备注,数据来源,待核
CIVILIZATION_KHMER,高棉,无,大人工湖：拥有“水渠”的城市从娱乐设施获得的 宜居度+1；每有1点 人口，则+1 信仰值。农场与水渠相邻时，提供的 食物+2；与圣地相邻时，提供的 信仰值+1。,否,无,一手,否
CIVILIZATION_KONGO,刚果,DISTRICT_MBANZA,精神实体：除了通常的 文化值，还会从每个 遗物、 文物以及 雕塑艺术巨作中获得+2 食物、+2 生产力、+1 信仰值，及+4 金币。获得的 大艺术家、 大音乐家和 大商人点数+50%。宫殿拥有5个巨作槽位。,否,无,一手,否
CIVILIZATION_KOREA,朝鲜,DISTRICT_SEOWON,三国鼎立：每与一座书院区域相邻，矿山则+1 科技值。每与一座书院区域相邻，农场则+1 食物。,否,无,一手,否
CIVILIZATION_KUMASI,库马西,无,无,否,无,一手,否
CIVILIZATION_LAHORE,拉合尔,无,无,否,无,一手,否
CIVILIZATION_LA_VENTA,拉文塔,无,无,否,无,一手,否
CIVILIZATION_LISBON,摩加迪沙,无,无,否,无,一手,否
CIVILIZATION_MACEDON,马其顿,无,皇家学堂：马其顿特色建筑。该城中训练的陆地近战、远程单位和伙友骑兵+25%战斗经验值。非平民单位在此城中创建时，获得等同于单位花费25%的 科技值。 无法建造在已拥有马厩的军营区域中。；希腊文化融合：征服城市后将获得提升：征服城市中每个军营或学院都会启动 尤里卡、每个圣地和剧院广场都带来 鼓舞。,否,无,一手,否
CIVILIZATION_MALI,马里,DISTRICT_SUGUBA,杰利之歌：每个相邻沙漠或沙漠丘陵单元格为市中心提供+1 信仰值与+1 食物。矿山-1 生产力，但+4 金币。可用 信仰值购买商业中心区域建筑。建造建筑或生产单位时-30% 生产力。,否,无,一手,否
CIVILIZATION_MAORI,毛利,无,帕堡：一种特色改良设施；玛那：游戏初始便解锁“航海术”与“造船术”科技，同时拥有进入海洋单元格的能力。水运单位+2 移动力。未改良的树林与雨林提供+1 生产力。“重商主义”额外提供+1 生产力、“保护地球”额外+2 生产力。渔船提供+1 食物，并向相邻单元格投放文化炸弹。无法收获资源；无法获得 大作家。,否,无,一手,否
CIVILIZATION_MAPUCHE,马普切,无,托奇：总督就职城市提供的 文化值+5%、 生产力+5%，此城市中生产的所有单位的战斗经验值+10%。在非马普切建立的城市中，这些数值将乘以三倍。 总督就职城市9单元格范围内的所有城市每回合对本方文明的忠诚度+4。,否,无,一手,否
CIVILIZATION_MAYA,玛雅,DISTRICT_OBSERVATORY,玛雅布：在淡水和海岸旁定居时不提供额外 住房；但每座农场额外+1 住房、每与一座天文台相邻则+1 生产力、+1 金币。每有一种奢侈品与市中心相邻，则+1 宜居度。,否,无,一手,否
CIVILIZATION_MEXICO_CITY,墨西哥城,无,无,否,无,一手,否
CIVILIZATION_MOHENJO_DARO,摩亨朱-达罗,无,无,否,无,一手,否
CIVILIZATION_MONGOLIA,蒙古,无,驿站：创建 贸易路线后，目的地城市中将立即出现1座 贸易站。在一个文明的任意城市中拥有1座 贸易站后， 外交能见度则上升1级。只要拥有比敌方更高的 外交能见度，所有蒙古单位基础 战斗力加成则翻1倍。,否,无,一手,否
CIVILIZATION_MUSCAT,马斯喀特,无,无,否,无,一手,否
CIVILIZATION_NALANDA,那烂陀,无,无,否,无,一手,否
CIVILIZATION_NAN_MADOL,南马都尔,无,无,否,无,一手,否
CIVILIZATION_NAZCA,纳斯卡,无,无,否,无,一手,否
CIVILIZATION_NETHERLANDS,荷兰,无,大河地带：与河流相邻时，学院、剧院广场和工业区将获得大量加成。建成港口后可对相邻单元格施放文化炸弹。建造堤坝区域和拦洪坝建筑时 生产力+50%。,否,无,一手,否
CIVILIZATION_NGAZARGAMU,纳札加姆,无,无,否,无,一手,否
CIVILIZATION_NORWAY,挪威,无,龙骨船：在研究造船术后，单位获得进入海洋单元格的能力。海军近战单位可在中立领土上回复。单位忽略来自上船和下船的额外 移动力消耗。,否,无,一手,否
CIVILIZATION_NUBIA,努比亚,无,LOC_TRAIT_CIVILIZATION_IMPROVEMENT_PYRAMID_NAME：LOC_TRAIT_CIVILIZATION_IMPROVEMENT_PYRAMID_DESCRIPTION；塔赛提：生产远程单位时+30% 生产力。所有远程单位战斗经验值+50%。战略资源矿产提供+1 生产力。加成和奢侈品资源矿产提供+2 金币。；LOC_TRAIT_CIVILIZATION_UNIT_NUBIAN_PITATI_NAME：LOC_TRAIT_CIVILIZATION_UNIT_NUBIAN_PITATI_DESCRIPTION,否,无,一手,否
CIVILIZATION_OTTOMAN,奥斯曼,无,达达尼尔射石炮：生产攻城单位时 生产力+50%。攻击区域防御时，所有攻城单位+5 战斗力。征服城市不会造成 人口损失。非奥斯曼建立的城市每回合+1 宜居度和+4忠诚度。,否,无,一手,否
CIVILIZATION_PALENQUE,米特拉,无,无,否,无,一手,否
CIVILIZATION_PERSIA,波斯,无,波斯庭院：解锁建造者建造波斯特色建筑波斯庭院的能力。 +1 文化值、+2 金币。+1魅力。每与一座圣地和剧院广场相邻则+1 文化值。每与一座商业中心和市中心相邻则+1 金币。解锁更多科技和市政后可提供更多 文化值和 旅游业绩。无法建在雪地、冻土、雪地丘陵或冻土丘陵上，也无法建在另一座波斯庭院旁。；行省总督：拥有“政治哲学”市政后， 贸易路线容量+1。本国城市之间的路线+2 金币，+1 文化值。本国领土中的道路提升一个等级。；长生军：波斯特色近战单位，替代剑客。此近战单位可进行远程攻击， 范围为2。防御力强。,否,无,一手,否
CIVILIZATION_PHOENICIA,腓尼基,DISTRICT_COTHON,地中海殖民地：游戏开始便激活“写作”科技 尤里卡。腓尼基建造的海岸城市若与 首都在同一大陆，则其忠诚度为100%。开拓者上船后， 移动力与视野范围各+2。开拓者上船和下船无需额外花费 移动力。,否,无,一手,否
CIVILIZATION_POLAND,波兰,无,纺织会馆：波兰特色建筑。从此城开始的国际 贸易路线+2 生产力；国内 贸易路线+4 金币。；贵族民主制：在友好领土内建成军营或堡垒后对相邻单元格施放文化炸弹。当前政体的一个军事政策槽位将转换为一个通配符槽位。；翼骑兵：文艺复兴时期波兰特色单位。如果输出的伤害点数高于敌方，则会将防守的敌方单位弹至后方的单元格中。如防守单位无法后退，则将受到更高的伤害。,否,无,一手,否
CIVILIZATION_PORTUGAL,葡萄牙,无,印度之家：国际 贸易路线必须起源于海岸城市，并只能通往处于海岸上或拥有港口的城市，但所有产出+50%。商人单位在水域中的行动范围+50%，且解锁之后可立即在水域中行动。,否,无,一手,否
CIVILIZATION_PRESLAV,普雷斯拉夫,无,无,否,无,一手,否
CIVILIZATION_RAPA_NUI,拉帕努伊,无,无,否,无,一手,否
CIVILIZATION_ROME,罗马,DISTRICT_BATH,条条大路通罗马：所有您创建或攻占的城市一开始便拥有贸易站。如果位于您 首都的 贸易路线范围内，城市自动建立一条通至罗马的路。您的 贸易路线经过您的城市贸易站+1 金币。,否,无,一手,否
CIVILIZATION_RUSSIA,俄罗斯,DISTRICT_LAVRA,俄罗斯母亲：建立城市可获得额外领土。冻土提供+1 信仰值与+1 生产力。与俄罗斯交战的文明单位如处于俄罗斯领土中，遭遇暴风雪时受到的伤害+100%。,否,无,一手,否
CIVILIZATION_SAMARKAND,撒马尔罕,无,无,否,无,一手,否
CIVILIZATION_SCOTLAND,苏格兰,无,苏格兰启蒙运动：幸福度为快乐的城市额外+5% 科技值、+5% 生产力。快乐的城市中每个学院+1 大科学家点数、每个工业区+1 大工程师点数。欣喜若狂的城市获得的加成将加倍。,否,无,一手,否
CIVILIZATION_SCYTHIA,斯基泰,无,大草原上的人：每次您训练一个轻骑兵或萨卡弓骑手，都可以再获得一个轻骑兵或萨卡弓骑手。,否,无,一手,否
CIVILIZATION_SINGAPORE,新加坡,无,无,否,无,一手,否
CIVILIZATION_SPAIN,西班牙,无,宝藏舰队：解锁“重商主义”后（而非“民族主义”和“动员”）即可组建舰队和无敌舰队。 贸易路线+3 金币、+2 信仰值、+1 生产力。如 贸易路线横跨多个大陆，则这些数值将乘以3倍。如城市处于非原始首都所在大陆，其建成时将获得1名建造者，建造区域时+25% 生产力。,否,无,一手,否
CIVILIZATION_SUMERIA,苏美尔,无,史诗任务：当您占领一个蛮族哨站时，您会获得部落村庄奖励，以及 金币。征用城邦单位费用降低一半。,否,无,一手,否
CIVILIZATION_SWEDEN,瑞典,无,诺贝尔奖：瑞典招募伟人时可获得50点 外交支持（标准速度下）。工厂与大学分别提供瑞典+1 大工程师点数与+1 大科学家点数。如瑞典在游戏中，进入工业时代后将增添3项特色世界议会竞赛。,否,无,一手,否
CIVILIZATION_TARUGA,塔鲁加,无,无,否,无,一手,否
CIVILIZATION_VALLETTA,瓦莱塔,无,无,否,无,一手,否
CIVILIZATION_VATICAN_CITY,梵蒂冈城,无,无,否,无,一手,否
CIVILIZATION_VIETNAM,越南,DISTRICT_THANH,九龙江三角洲：所有陆地特色区域只能建造在雨林、沼泽或树林上。建在这些地貌上的建筑将获得以下收益：建在树林上提供+1 文化值、建在雨林上提供+1 科技值、建在沼泽上提供+1 生产力。拥有“中世纪集市”市政后即可栽种树林。,否,无,一手,否
CIVILIZATION_VILNIUS,维尔纽斯,无,无,否,无,一手,否
CIVILIZATION_WOLIN,沃林,无,无,否,无,一手,否
CIVILIZATION_YEREVAN,埃里温,无,无,否,无,一手,否
CIVILIZATION_ZANZIBAR,桑给巴尔,无,无,否,无,一手,否
CIVILIZATION_ZULU,祖鲁,DISTRICT_IKANDA,部落礼赞：拥有驻军单位的城市每回合忠诚度+3；如驻扎有军团或军队，则+5。如已解锁相关市政，用单位占领城市则可将其升级为军团或军队。,否,无,一手,否
